SKU,UPC Code,Product Description,Brand Code,Brand Name,2025.04_Status,25-Apr
DMX48245,8809886482458 ,"Facephalt, Tightening Cream for Full Face, For All Skin Types, 1.69 fl oz (50 ml)",DMX,Dr.Melaxin,New Seller,32
LFT67921,8805915679219 ,"Probiotic, Gold , 50 Sticks, (2 g) Each",LFT,Lactofit,On Sale,440
NRP46214,8806173462148 ,"Good Skin, Tea Tree Ampoule, 1.01 fl oz (30 ml)",NRP,Nature Republic,On Sale,17
DMX48147,8809886481475 ,"Oyster Pep-3 Renewal Beauty Mask Pack, 5 Sheets, 1.05 fl oz (30 g) Each",DMX,Dr.Melaxin,On Sale,11
DMX48162,8809886481628 ,"Aqua Ion Plasma, Hydrating Water Beauty Gel Mask, 5 Sheets, 0.88 oz (25 g) Each",DMX,Dr.Melaxin,New Seller,8
APB68390,8809874683904 ,"Tranexamic Acid Niacinamide Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
HBF94451,8809617944514 ,"Baked Corn Almond, 4.23 oz (120 g)",HBF,HBAF,On Sale,121
PIT10276,8809563102761 ,"Clear Code Superfruit Cleanser, 5.07 fl oz (150 ml)",PIT,Purito,NoPO,2
APB68431,8809874684314 ,"Coenzyme Q10 Retinol Facial Cream, 1.86 fl oz (55 ml)",APB,APLB,New Pending,0
MUZ58045,8809836580456 ,"Objet Water, 005 Diva, 6 ml",MUZ,Muzigae Mansion,On Sale,6
DMX48237,8809886482373 ,"Peel Shot, Exfoliant Black Rice Ampoule, For All Skin Types, 2.7 fl oz (80 ml)",DMX,Dr.Melaxin,New Seller,25
SRI77911,8809186779111 ,"Have A Fresh Day Body Wash, 10.14 fl oz (300 ml)",SRI,Sioris,NoPO,15
GBL25183,8806135251834 ,"Edelweiss Lifting Serum , 1.35 fl oz (40 ml)",GBL,Genabelle,New Seller,4
MUZ58025,8809836580258 ,"Icy Glow, 05 Tempting, 1 Count",MUZ,Muzigae Mansion,NoPO,20
NRP46865,8806173468652 ,"Argan Essential Moist, Hair Mist, 7.43 fl oz (220 ml)",NRP,Nature Republic,NoPO,10
NRP48704,8806173487042 ,"Black Bean, Invigorating Hair Treatment, 6.76 fl oz (200 ml)",NRP,Nature Republic,On Sale,10
HBF45047,8800279450474 ,"Sweet Red Bean Almond, 120 g",HBF,HBAF,New Pending,0
MUZ58038,8809836580388 ,"Objet Liquid, 018 Knockout, 1 Count",MUZ,Muzigae Mansion,NoPO,13
SGE02239,8800253022390 ,"Deep Collagen Retinol Boost-Up Beauty Mask , 4 Sheets, 0.88 oz (25 g) Each",SGE,Sungboon Editor,New Pending,0
APB68411,8809874684116 ,"Glycerin Vitamin C Ampoule Serum , 1.35 fl oz (40 ml)",APB,APLB,New Pending,0
DMX48115,8809886481154 ,"Cemenrete CX, Calcium Intense Cream , 1.69 fl oz (50 ml)",DMX,Dr.Melaxin,On Sale,17
