SKU,UPC Code,Product Description,Brand Code,Brand Name,2025.08_Status,25-Aug
DMX48235,8809886482359 ,"Cicapyrin Calming Ampoule , 1.01 fl oz (30 ml)",DMX,Dr.Melaxin,On Sale,5
MVY05763,8809595057633 ,"Mugwort Heating Therapy Pack, 3.52 oz (100 g)",MVY,Molvany,New Seller,13
OOT81205,8809349812051 ,"Ceramide Care Beauty Mask, 10 Sheets, 0.88 oz (25 g) Each",OOT,OOTD,New Seller,9
APB68522,8809874685229 ,"Collagen EGF Peptide Beauty Sheet Mask, 10 Sheets, 0.85 fl oz (25 ml)",APB,APLB,New Seller,187
APB68543,8809874685434 ,"Liposome Vitamin C LX Cream , 1.86 fl oz (55 ml)",APB,APLB,New Seller,9
SRI55257,8806158552574 ,"My First Essener, 100 ml (3.38 fl oz)",SRI,Sioris,On Sale,24
HBF94493,8809617944934 ,"Cheongyang Mayo Almond, 4.23 oz (120 g)",HBF,HBAF,On Sale,66
LFT68241,8805915682417 ,"Probiotics, Vegetable , 60 Sticks, (2 g) Each",LFT,Lactofit,On Sale,65
MUZ58082,8809836580821 ,"Sleek Matt Cushion, SPF 50, PA4+, N21, 15 g",MUZ,Muzigae Mansion,On Sale,20
GBL25203,8806135252039 ,"Aquaporin Intense Cream Toner, 4.05 fl oz (120 ml)",GBL,Genabelle,On Sale,13
NRP47551,8806173475513 ,"Skin Smoothing Body Peeling Mist, Phytoncide, 10.14 fl oz (300 ml)",NRP,Nature Republic,NoPO,0
OOT81366,8809349813669 ,"Glossy Tinted Lip Serum, 0.5 fl oz (15 ml)",OOT,OOTD,New Pending,0
APB68271,8809874682716 ,"Glutathione Niacinamide, Mist Essence, 3.55 fl oz (105 ml)",APB,APLB,On Sale,315
APB68421,8809874684215 ,"Mandelic Acid Retinol Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Seller,32
HBF94948,8809617949489 ,"Butter Squid Popcorn, 80 g",HBF,HBAF,New Seller,71
DMX48145,8809886481451 ,"Oyster Pep-3 Renewal Cream , 1.69 fl oz (50 ml)",DMX,Dr.Melaxin,On Sale,26
MUZ58005,8809836580050 ,"Objet Liquid, 005 Stunning, 1 Count",MUZ,Muzigae Mansion,NoPO,10
TWA31045,8800276310450 ,"Dual Cheek, 09 Heart Balloon, 9 g",TWA,2aN,New Seller,9
APB68405,8809874684055 ,"Mandelic Acid Retinol Ampoule Serum , 1.35 fl oz (40 ml)",APB,APLB,New Seller,71
GBL25102,8806135251025 ,"PDRN Vita Toning Ampoule, 1.01 fl oz (30 ml)",GBL,Genabelle,On Sale,389
HBF94874,8809617948741 ,"Honey Butter Popcorn, 80 g",HBF,HBAF,New Seller,73
OOT81299,8809349812990 ,"Snail Mucin Lifting Cream , 3.38 fl oz (100 ml)",OOT,OOTD,New Seller,20
TWA20654,8809968206545 ,"Gleaming Tension Pact, 17 Pure Ivory, 0.45 oz (13 g)",TWA,2aN,New Seller,5
APB68428,8809874684284 ,"Squalane Hyaluronic Acid Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Seller,74
APB68429,8809874684291 ,"Kojic Acid Vitamin C Facial Cream , 1.86 fl oz (55 ml)",APB,APLB,New Seller,262
GBL32222,8809653322222 ,"Cabbage Calming Cream , 1.69 fl oz (50 ml)",GBL,Genabelle,On Sale,4
GBL54683,8809743546835 ,"Aquaberrier Ceramide Capsule Cream , 1.69 fl oz (50ml)",GBL,Genabelle,On Sale,15
DMX48198,8809886481987 ,"Cemenrete, Picotonic Shot Pigmentation Corrector Calcium Ampoule, 1.01 fl oz (30 ml)",DMX,Dr.Melaxin,On Sale,46
GWU09352,8809704093521 ,"Damage Therapy Shampoo EX, 16.90 fl oz (500 ml)",GWU,GROWUS,New Seller,48
APB68515,8809874685151 ,"Retinol Vitamin C, Vitamin E Body Lotion , 10.14 fl oz (300 ml)",APB,APLB,New Seller,443
DMX48153,8809886481536 ,"AstaxanthinRX, Whitening Ampoule Beauty Mask Pack, 5 Sheets, 0.88 oz (25 g) Each",DMX,Dr.Melaxin,On Sale,112
